mattgphoto,I thought #UnitedAirlines was supposed to be good? #GivenTheRunaround @united
financialbuzz,RT @FinancialBuzzCA: Delta Air Lines Reports Third Quarter Financial Results- read the full article on our website: https://t.co/a4VzJIwdTw…
FinancialBuzzCA,Delta Air Lines Reports Third Quarter Financial Results- read the full article on our website:… https://t.co/m684AJWKcv
carlallendrums,"#unitedAIRLINES, you are the worst.
UNITED AIRLINES, YOU ARE HORRIBLE."
LostAddicted2,"#UnitedAirlines
Do NOT book with United 2 planes with mechanical problems. Delay after delay. Horrible travelling t… https://t.co/9B6qcmx1rD"
nealpatelkc,@UnitedAirlines @FAANews Are there any limits to reducing legroom? Serious question. #UnitedAirlines… https://t.co/NCJgackbvT
keke_doll,"Well... he's lucky he wasn't flying United #extinctionrebellion #londoncityairport #unitedairlines #london #uk 
BBC… https://t.co/JwykdqFhPH"
TheDailyBeat2,"RT @cadamesofficial: It’s time to head back home!
Once I get back, all the hugs are welcomed.
#nationalhugadrummerday #travelingmusician #t…"
BambiBellina,My Mileage Plus Explorer card doesn’t allow me free luggage on my United flt. because it’s a basic economy flt. (wh… https://t.co/TcKmO7M8JU
TheNicoleD,@UnitedAirlines This flight is in fact not on time and the lady at the gate is saying she doesn’t know why the flig… https://t.co/qqHJooNmAB
CrashPad411,"5 stops to Ohare.  Nice &amp; peaceful neighborhood. Home away from home.
#chicago #ord #crashpad411 #flightattendant… https://t.co/VeovTeW9Jj"
Durteger,@LeaveEUOfficial He's lucky he wasn't flying #UnitedAIRLINES https://t.co/cQR8obwSGW
imwayne_,"Y’all then really played on my top with these flight prices #UnitedAirlines but see, the Lord don’t bless no mess."
nickjolly29,"Read the journey to the city of dreams ""London"". Explore the famous spots in #London. Book your #flights at cheap f… https://t.co/4hvP0xDR9x"
loyndsview,"5/ ""Companies ranging from #Marriott to #UnitedAirlines to #Versace have also had to backtrack on perceived slights… https://t.co/gAH7XXDv1Y"
GlobalTravelMgt,Scottish regional carrier Loganair has announced a new interline partnership with United Airlines.… https://t.co/SmKn5bG8nm
DenisaKera,"shame #unitedairlines rerouting intercontinental flight without ANY notice, claiming #austrianairlines is the culpr… https://t.co/OehxhGpVMY"
jdmacht,...vacation time....Toronto 🇨🇦 bound...for a long weekend. #travel #toseetheleaves #canada  #sfo #sanfransico… https://t.co/kGBMrsFQ3b
10427994324a4d1,"You know that saying, “Don’t judge a book by its cover?” I definitely should have approached my corporate event lik… https://t.co/F4eBhRdcFg"
WorkHardFlyRite,We had a great time giving ‘Surprise and Delight’ Joint #recognition to our #IAH team from Above and Below The Wing… https://t.co/ILJPiBC27B
subyroy,"RT @subyroy: “Individuals have rights, &amp; there are things no person or group may do to them (without violating their rights)” Nozick 1974 #…"
LudwigSays,"Do not fly United Airlines. Even with a Business class Interntaional ticket, they will not allow you to enter their… https://t.co/hFhDMS1uUi"
